6,75152,6,1680,60,5,216,19110,1680
5,66136,6,1260,60,4,180,25620,1260
6,75236,6,1680,60,5,216,19110,1680
6,74396,6,1680,60,5,216,19110,1680
5,69272,6,1260,60,4,180,25620,1260
8,84616,9,2100,90,7,288,12600,2100
1,19712,0,0,0,0,36,42000,0
7,76440,9,1680,90,6,252,15855,1960
3,43232,3,420,30,2,108,31080,0
3,46536,3,420,30,2,108,31080,0
10,95760,12,3360,120,9,360,12600,2520
9,90720,12,2520,120,8,324,12600,2310
7,76328,3,1680,90,6,252,15855,1960
3,45360,6,420,30,2,108,31080,0
5,60144,12,1260,60,4,180,25620,1260
6,73920,9,1680,60,5,216,19110,1680
5,69048,0,1260,60,4,180,25620,1260
9,92092,9,2520,120,8,324,12600,2310
1,17080,9,0,0,0,36,42000,6000
2,25256,9,0,0,1,72,36540,6000
4,56280,6,840,30,3,144,25620,840
4,47768,12,840,30,3,144,25620,840
5,59752,12,1260,60,4,180,25620,1260
3,38472,0,420,30,2,108,31080,6000
8,83384,9,2100,90,7,288,12600,2100
6,70140,9,1680,60,5,216,19110,1680
9,90580,6,2520,120,8,324,12600,2310
6,71372,9,1680,60,5,216,19110,1680
1,24472,0,0,0,0,36,42000,0
8,84168,0,2100,90,7,288,12600,2100
7,75712,3,1680,90,6,252,15855,1960
8,86156,12,2100,90,7,288,12600,2100
8,86520,9,2100,90,7,288,12600,2100
8,85120,9,2100,90,7,288,12600,2100
1,21280,0,0,0,0,36,42000,0
5,61152,6,1260,60,4,180,25620,1260
8,83496,9,2100,90,7,288,12600,2100
4,55440,3,840,30,3,144,25620,840
5,65912,6,1260,60,4,180,25620,1260
9,91000,12,2520,120,8,324,12600,2310
5,62328,6,1260,60,4,180,25620,1260
9,87080,12,2520,120,8,324,12600,2310
2,32032,0,0,0,1,72,36540,0
7,79632,9,1680,90,6,252,15855,1960
2,32368,0,0,0,1,72,36540,0
3,36456,3,420,30,2,108,31080,6000
1,18648,0,0,0,0,36,42000,6000
7,77364,9,1680,90,6,252,15855,1960
5,65240,6,1260,60,4,180,25620,1260
2,27160,0,0,0,1,72,36540,6000
9,91168,12,2520,120,8,324,12600,2310
2,27104,0,0,0,1,72,36540,6000
8,83580,9,2100,90,7,288,12600,2100
6,73416,6,1680,60,5,216,19110,1680
2,34272,0,0,0,1,72,36540,0
1,19320,0,0,0,0,36,42000,6000
6,71708,6,1680,60,5,216,19110,1680
10,96656,12,3360,120,9,360,12600,2520
2,35616,0,0,0,1,72,36540,0
5,63112,6,1260,60,4,180,25620,1260
6,71680,6,1680,60,5,216,19110,1680
8,82208,9,2100,90,7,288,12600,2100
8,81984,9,2100,90,7,288,12600,2100
7,78820,9,1680,90,6,252,15855,1960
1,15904,0,0,0,0,36,42000,6000
7,76300,9,1680,90,6,252,15855,1960
3,42560,3,420,30,2,108,31080,0
5,66080,6,1260,60,4,180,25620,1260
9,92316,12,2520,120,8,324,12600,2310
1,22792,0,0,0,0,36,42000,0
4,54096,3,840,30,3,144,25620,840
7,80584,9,1680,90,6,252,15855,1960
9,89796,12,2520,120,8,324,12600,2310
9,92008,12,2520,120,8,324,12600,2310
10,95676,12,3360,120,9,360,12600,2520
6,73080,6,1680,60,5,216,19110,1680
2,33880,0,0,0,1,72,36540,0
3,42056,3,420,30,2,108,31080,0
7,79520,9,1680,90,6,252,15855,1960
5,67312,6,1260,60,4,180,25620,1260
2,31640,0,0,0,1,72,36540,0
7,80304,9,1680,90,6,252,15855,1960
2,25872,0,0,0,1,72,36540,6000
6,71008,6,1680,60,5,216,19110,1680
7,76552,9,1680,90,6,252,15855,1960
9,87500,12,2520,120,8,324,12600,2310
4,58016,3,840,30,3,144,25620,840
7,78764,9,1680,90,6,252,15855,1960
3,36904,3,420,30,2,108,31080,6000
3,39592,3,420,30,2,108,31080,6000
7,75684,9,1680,90,6,252,15855,1960
6,71232,6,1680,60,5,216,19110,1680
4,56560,3,840,30,3,144,25620,840
3,39648,3,420,30,2,108,31080,6000
8,85344,9,2100,90,7,288,12600,2100
4,57904,3,840,30,3,144,25620,840
9,88872,12,2520,120,8,324,12600,2310
6,72492,6,1680,60,5,216,19110,1680
8,82712,9,2100,90,7,288,12600,2100
6,74284,6,1680,60,5,216,19110,1680
8,81368,9,2100,90,7,288,12600,2100
5,59640,6,1260,60,4,180,25620,1260
2,35112,0,0,0,1,72,36540,0
4,54656,3,840,30,3,144,25620,840
7,79464,9,1680,90,6,252,15855,1960
1,15064,0,0,0,0,36,42000,6000
6,71456,6,1680,60,5,216,19110,1680
10,94780,12,3360,120,9,360,12600,2520
4,54376,3,840,30,3,144,25620,840
4,56336,3,840,30,3,144,25620,840
10,94304,12,3360,120,9,360,12600,2520
6,74900,6,1680,60,5,216,19110,1680
10,93352,12,3360,120,9,360,12600,2520
2,29624,0,0,0,1,72,36540,6000
6,71652,6,1680,60,5,216,19110,1680
10,93436,12,3360,120,9,360,12600,2520
6,71204,6,1680,60,5,216,19110,1680
5,62832,6,1260,60,4,180,25620,1260
5,69552,6,1260,60,4,180,25620,1260
1,19656,0,0,0,0,36,42000,0
10,92736,12,3360,120,9,360,12600,2520
7,78540,9,1680,90,6,252,15855,1960
7,79296,9,1680,90,6,252,15855,1960
9,89572,12,2520,120,8,324,12600,2310
2,26040,0,0,0,1,72,36540,6000
4,55664,3,840,30,3,144,25620,840
1,22064,0,0,0,0,36,42000,0
3,47432,3,420,30,2,108,31080,0
8,84700,9,2100,90,7,288,12600,2100
10,94276,12,3360,120,9,360,12600,2520
8,82936,9,2100,90,7,288,12600,2100
9,88732,12,2520,120,8,324,12600,2310
5,66864,6,1260,60,4,180,25620,1260
1,24248,0,0,0,0,36,42000,0
10,94444,12,3360,120,9,360,12600,2520
3,45472,3,420,30,2,108,31080,0
1,16016,0,0,0,0,36,42000,6000
2,30184,0,0,0,1,72,36540,6000
5,61432,6,1260,60,4,180,25620,1260
5,65464,6,1260,60,4,180,25620,1260
